problem_id,in,out
1,"[5, 3, 8, 6, 2]", "[2, 3, 5, 6, 8]"
1,"[1, 4, 3, 2]", "[1, 2, 3, 4]"
1,"[9, 7, 5, 3, 1]", "[1, 3, 5, 7, 9]"
2,"[1, 2, 3, 4, 5], 3", "2"
2,"[10, 20, 30, 40, 50], 40", "3"
2,"[5, 15, 25, 35, 45], 25", "2"
3,"{0: [1, 2], 1: [2], 2: [0, 3], 3: [3]}", "[0, 1, 2, 3]"
3,"{0: [1, 2], 1: [2], 2: [3], 3: []}", "[0, 1, 2, 3]"
4,"[1, 2, 3, 4, 5]", "15"
4,"[1, 2, 3, 4, 5, 6]", "21"
5,"'hello', 'll'", "[2]"
5,"'abracadabra', 'abra'", "[0, 7]"
6,"10", "[2, 3, 5, 7]"
6,"20", "[2, 3, 5, 7, 11, 13, 17, 19]"
7,"[[0, 1, 1], [1, 2, 1], [2, 3, 1], [3, 4, 1]], 0, 4", "4"
7,"[[0, 1, 2], [1, 2, 2], [2, 3, 2], [3, 4, 2]], 0, 4", "8"
8,"[10, 20, 30], [60, 100, 120], 50", "220"
8,"[1, 2, 3], [10, 20, 30], 5", "50"
9,"'racecar'", "true"
9,"'hello'", "false"
10,"5", "[0, 1, 1, 2, 3]"
10,"10", "[0, 1, 1, 2, 3, 5, 8, 13, 21, 34]"
11,"[[1, 2], [3, 4]]", "[[3, 4], [9, 16]]"
11,"[[2, 3], [4, 5]]", "[[8, 15], [20, 25]]"
12,"[[5, 3, 0, 0, 7, 0, 0, 0, 0], [6, 0, 0, 1, 9, 5, 0, 0, 0], [0, 9, 8, 0, 0, 0, 0, 6, 0], [8, 0, 0, 0, 6, 0, 0, 0, 3], [4, 0, 0, 8, 0, 3, 0, 0, 1], [7, 0, 0, 0, 2, 0, 0, 0, 6], [0, 6, 0, 0, 0, 0, 2, 8, 0], [0, 0, 0, 4, 1, 9, 0, 0, 5], [0, 0, 0, 0, 8, 0, 0, 7, 9]]", "[[5, 3, 4, 6, 7, 8, 9, 1, 2], [6, 7, 2, 1, 9, 5, 3, 4, 8], [1, 9, 8, 3, 4, 2, 5, 6, 7], [8, 5, 9, 7, 6, 1, 4, 2, 3], [4, 2, 6, 8, 5, 3, 7, 9, 1], [7, 1, 3, 9, 2, 4, 8, 5, 6], [9, 6, 1, 5, 3, 7, 2, 8, 4], [2, 8, 7, 4, 1, 9, 6, 3, 5], [3, 4, 5, 2, 8, 6, 1, 7, 9]]"
13,"'listen', 'silent'", "true"
13,"'hello', 'world'", "false"
14,"[[1, 3], [2, 6], [8, 10], [15, 18]]", "[[1, 6], [8, 10], [15, 18]]"
14,"[[1, 4], [4, 5]]", "[[1, 5]]"
15,"['put', 'get', 'put', 'get'], [[1, 1], [1], [2, 2], [1]]", "[null, 1, null, -1]"
15,"['put', 'put', 'get', 'put', 'get', 'get'], [[1, 1], [2, 2], [1], [3, 3], [2], [3]]", "[null, null, 1, null, -1, 3]"